"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 24 00:13:56 EEST 2026","Sun May 24 00:13:57 EEST 2026","461","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","filtering_byStatus_returnsMatchingRecords","filtering_byStatus_returnsMatchingRecords","filter[status] returns only matching status when data exists"
"passed","Sun May 24 00:13:52 EEST 2026","Sun May 24 00:13:52 EEST 2026","480","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","sorting_validFields_returnSortedData","sorting_validFields_returnSortedData","Each supported sort field works in ASC and DESC"
"passed","Sun May 24 00:16:34 EEST 2026","Sun May 24 00:16:34 EEST 2026","432","Wallets Module","Wallets Tests","com.apiautomation.tests.admin.wallets.AdminWalletsSummaryApiTest","com.apiautomation.tests.admin.wallets.AdminWalletsSummaryApiTest","filtering_byStatus","filtering_byStatus","filter[status] for each supported status"
"passed","Sun May 24 00:16:13 EEST 2026","Sun May 24 00:16:14 EEST 2026","477","Wallets Module","Wallets Tests","com.apiautomation.tests.admin.wallets.AdminWalletsQueryApiTest","com.apiautomation.tests.admin.wallets.AdminWalletsQueryApiTest","pagination_invalidPerPage_handledGracefully","pagination_invalidPerPage_handledGracefully","Invalid perPage values return 200 with fallback or 400/422"
"passed","Sun May 24 00:15:39 EEST 2026","Sun May 24 00:15:39 EEST 2026","395","Refunds Module","Refunds Tests","com.apiautomation.tests.admin.refunds.AdminRefundsSummaryApiTest","com.apiautomation.tests.admin.refunds.AdminRefundsSummaryApiTest","filtering_invalidStoreId","filtering_invalidStoreId","Invalid store_id values"
"passed","Sun May 24 00:12:50 EEST 2026","Sun May 24 00:12:51 EEST 2026","353","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionByIdApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionByIdApiTest","showTransaction_negativeId_returns404","showTransaction_negativeId_returns404","Negative ID returns 404"
"passed","Sun May 24 00:12:09 EEST 2026","Sun May 24 00:12:10 EEST 2026","383","Subscriptions Module","Subscriptions Tests","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsExportApiTest","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsExportApiTest","export_startDateRange","export_startDateRange","start_date_from/to on export"
"passed","Sun May 24 00:10:33 EEST 2026","Sun May 24 00:10:34 EEST 2026","700","Plan Features Module","Plan Features Tests","com.apiautomation.tests.admin.planfeatures.AdminPlanFeatureCreateApiTest","com.apiautomation.tests.admin.planfeatures.AdminPlanFeatureCreateApiTest","createFeature_missingTitleEn_returns422","createFeature_missingTitleEn_returns422","Missing title_en returns 422"
"passed","Sun May 24 00:12:34 EEST 2026","Sun May 24 00:12:35 EEST 2026","601","Subscriptions Module","Subscriptions Tests","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsQueryApiTest","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsQueryApiTest","combined_activeMonthlyPerPage","combined_activeMonthlyPerPage","tab=active + billing_cycle=monthly + perPage=10"
"passed","Sun May 24 00:11:08 EEST 2026","Sun May 24 00:11:09 EEST 2026","922","Subscriptions Module","Subscriptions Tests","com.apiautomation.tests.admin.subscriptions.AdminCancelSubscriptionApiTest","com.apiautomation.tests.admin.subscriptions.AdminCancelSubscriptionApiTest","cancelSubscription_postmanExample_whenBranchesBusy_returns422","cancelSubscription_postmanExample_whenBranchesBusy_returns422","Postman body blocked when branches have pending orders/appointments (422 branch_ids_to_deactivate)"
"passed","Sun May 24 00:13:59 EEST 2026","Sun May 24 00:13:59 EEST 2026","458","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","filtering_byType_returnsMatchingRecords","filtering_byType_returnsMatchingRecords","filter[type] returns only matching transaction type when data exists"
"passed","Sun May 24 00:10:53 EEST 2026","Sun May 24 00:10:54 EEST 2026","910","Plan Features Module","Plan Features Tests","com.apiautomation.tests.admin.planfeatures.AdminPlanFeaturesQueryApiTest","com.apiautomation.tests.admin.planfeatures.AdminPlanFeaturesQueryApiTest","pagination_defaultList_returnsMetaAndData","pagination_defaultList_returnsMetaAndData","Default list without params returns 200"
"passed","Sun May 24 00:13:37 EEST 2026","Sun May 24 00:13:37 EEST 2026","401","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsExportApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsExportApiTest","filtering_invalidStatus","filtering_invalidStatus","Invalid status does not cause 500"
"passed","Sun May 24 00:14:16 EEST 2026","Sun May 24 00:14:17 EEST 2026","927","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsSummaryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsSummaryApiTest","sorting_sqlInjection_safe","sorting_sqlInjection_safe","SQL injection in sort must not return 500"
"passed","Sun May 24 00:13:39 EEST 2026","Sun May 24 00:13:40 EEST 2026","394","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsExportApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsExportApiTest","combined_postmanFiltersExample","combined_postmanFiltersExample","Postman combo: status+type+search+user+amount+currency+dates"
"passed","Sun May 24 00:13:33 EEST 2026","Sun May 24 00:13:33 EEST 2026","366","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsExportApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsExportApiTest","filtering_byProviderId","filtering_byProviderId","filter[provider_id]"
"passed","Sun May 24 00:12:45 EEST 2026","Sun May 24 00:12:45 EEST 2026","512","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionByIdApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionByIdApiTest","showTransaction_dynamicId_matchesListData","showTransaction_dynamicId_matchesListData","Each list transaction ID returns detail matching list data"
"passed","Sun May 24 00:14:26 EEST 2026","Sun May 24 00:14:27 EEST 2026","481","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsSummaryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsSummaryApiTest","filtering_byDateToOnly","filtering_byDateToOnly","filter[date_to] only"
"passed","Sun May 24 00:15:58 EEST 2026","Sun May 24 00:15:59 EEST 2026","472","Wallets Module","Wallets Tests","com.apiautomation.tests.admin.wallets.AdminWalletByIdApiTest","com.apiautomation.tests.admin.wallets.AdminWalletByIdApiTest","showWallet_dynamicId_matchesListData","showWallet_dynamicId_matchesListData","Each list wallet ID returns detail matching list data"
"passed","Sun May 24 00:16:12 EEST 2026","Sun May 24 00:16:13 EEST 2026","364","Wallets Module","Wallets Tests","com.apiautomation.tests.admin.wallets.AdminWalletsQueryApiTest","com.apiautomation.tests.admin.wallets.AdminWalletsQueryApiTest","pagination_invalidPerPage_handledGracefully","pagination_invalidPerPage_handledGracefully","Invalid perPage values return 200 with fallback or 400/422"
"passed","Sun May 24 00:17:31 EEST 2026","Sun May 24 00:17:31 EEST 2026","461","Payment Issues Module","Payment Issues Tests","com.apiautomation.tests.admin.paymentissues.AdminPaymentIssuesSummaryApiTest","com.apiautomation.tests.admin.paymentissues.AdminPaymentIssuesSummaryApiTest","filtering_byDateRange","filtering_byDateRange","filter[date_from] and filter[date_to] — Postman example"
"broken","Sun May 24 00:16:21 EEST 2026","Sun May 24 00:16:21 EEST 2026","425","Wallets Module","Wallets Tests","com.apiautomation.tests.admin.wallets.AdminWalletsQueryApiTest","com.apiautomation.tests.admin.wallets.AdminWalletsQueryApiTest","filtering_byBalanceRange_returnsRecordsInRange","filtering_byBalanceRange_returnsRecordsInRange","filter[balance_min] and filter[balance_max] constrain current_balance"
"passed","Sun May 24 00:12:44 EEST 2026","Sun May 24 00:12:44 EEST 2026","567","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionByIdApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionByIdApiTest","showTransaction_dynamicId_matchesListData","showTransaction_dynamicId_matchesListData","Each list transaction ID returns detail matching list data"
"passed","Sun May 24 00:14:21 EEST 2026","Sun May 24 00:14:22 EEST 2026","428","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsSummaryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsSummaryApiTest","filtering_byStatus","filtering_byStatus","filter[status] for each supported status"
"passed","Sun May 24 00:14:09 EEST 2026","Sun May 24 00:14:10 EEST 2026","976","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","performance_combinedQuery_withinSla","performance_combinedQuery_withinSla","Filtered paginated list responds within SLA"
"passed","Sun May 24 00:15:38 EEST 2026","Sun May 24 00:15:39 EEST 2026","374","Refunds Module","Refunds Tests","com.apiautomation.tests.admin.refunds.AdminRefundsSummaryApiTest","com.apiautomation.tests.admin.refunds.AdminRefundsSummaryApiTest","filtering_invalidStoreId","filtering_invalidStoreId","Invalid store_id values"
"passed","Sun May 24 00:11:07 EEST 2026","Sun May 24 00:11:07 EEST 2026","416","Plan Features Module","Plan Features Tests","com.apiautomation.tests.admin.planfeatures.AdminPlanFeaturesQueryApiTest","com.apiautomation.tests.admin.planfeatures.AdminPlanFeaturesQueryApiTest","security_invalidToken_returnsUnauthorized","security_invalidToken_returnsUnauthorized","List with invalid token returns 400 or 401"
"passed","Sun May 24 00:11:11 EEST 2026","Sun May 24 00:11:11 EEST 2026","621","Plan Features Module","Plan Features Tests","com.apiautomation.tests.admin.planfeatures.AdminPlanFeatureUpdateApiTest","com.apiautomation.tests.admin.planfeatures.AdminPlanFeatureUpdateApiTest","updateFeature_emptyBodyOnMissingId_returnsError","updateFeature_emptyBodyOnMissingId_returnsError","PUT with empty body on non-existent id returns 404 or 422"
"passed","Sun May 24 00:14:24 EEST 2026","Sun May 24 00:14:25 EEST 2026","425","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsSummaryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsSummaryApiTest","filtering_byStoreId","filtering_byStoreId","filter[store_id]"
"passed","Sun May 24 00:15:30 EEST 2026","Sun May 24 00:15:31 EEST 2026","454","Refunds Module","Refunds Tests","com.apiautomation.tests.admin.refunds.AdminRefundsSummaryApiTest","com.apiautomation.tests.admin.refunds.AdminRefundsSummaryApiTest","filtering_byType","filtering_byType","filter[type] for each supported type"
"passed","Sun May 24 00:12:45 EEST 2026","Sun May 24 00:12:46 EEST 2026","498","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionByIdApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionByIdApiTest","showTransaction_dynamicId_matchesListData","showTransaction_dynamicId_matchesListData","Each list transaction ID returns detail matching list data"
"passed","Sun May 24 00:15:18 EEST 2026","Sun May 24 00:15:19 EEST 2026","411","Refunds Module","Refunds Tests","com.apiautomation.tests.admin.refunds.AdminRefundsQueryApiTest","com.apiautomation.tests.admin.refunds.AdminRefundsQueryApiTest","security_sqlInjectionInFilters_doesNotCauseServerError","security_sqlInjectionInFilters_doesNotCauseServerError","SQL injection across multiple filter params does not cause 500"
"passed","Sun May 24 00:15:27 EEST 2026","Sun May 24 00:15:27 EEST 2026","445","Refunds Module","Refunds Tests","com.apiautomation.tests.admin.refunds.AdminRefundsSummaryApiTest","com.apiautomation.tests.admin.refunds.AdminRefundsSummaryApiTest","filtering_byStatus","filtering_byStatus","filter[status] for each supported status"
"passed","Sun May 24 00:11:58 EEST 2026","Sun May 24 00:11:58 EEST 2026","404","Subscriptions Module","Subscriptions Tests","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsCountApiTest","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsCountApiTest","counts_invalidBillingCycle_handled","counts_invalidBillingCycle_handled","invalid billing_cycle handled"
"passed","Sun May 24 00:12:03 EEST 2026","Sun May 24 00:12:04 EEST 2026","551","Subscriptions Module","Subscriptions Tests","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsExportApiTest","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsExportApiTest","export_byTab_returnsCsv","export_byTab_returnsCsv","tab=all|active|inactive|cancelled accepted on export"
"passed","Sun May 24 00:08:52 EEST 2026","Sun May 24 00:08:55 EEST 2026","2790","Plans Module","Plans Tests","com.apiautomation.tests.admin.plans.AdminPlansQueryApiTest","com.apiautomation.tests.admin.plans.AdminPlansQueryApiTest","pagination_postmanDefaults_returnsMetaAndData","pagination_postmanDefaults_returnsMetaAndData","Postman default: page=1, perPage=15 returns pagination metadata and data"
"passed","Sun May 24 00:14:11 EEST 2026","Sun May 24 00:14:11 EEST 2026","485","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsSummaryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsSummaryApiTest","sorting_allFieldsAccepted","sorting_allFieldsAccepted","Each supported sort field is accepted on summary endpoint"
"passed","Sun May 24 00:12:15 EEST 2026","Sun May 24 00:12:15 EEST 2026","606","Subscriptions Module","Subscriptions Tests","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsExportApiTest","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsExportApiTest","export_performance_filteredWithinSla","export_performance_filteredWithinSla","Filtered export within export SLA"
"passed","Sun May 24 00:17:32 EEST 2026","Sun May 24 00:17:33 EEST 2026","353","Payment Issues Module","Payment Issues Tests","com.apiautomation.tests.admin.paymentissues.AdminPaymentIssuesSummaryApiTest","com.apiautomation.tests.admin.paymentissues.AdminPaymentIssuesSummaryApiTest","filtering_invalidType","filtering_invalidType","Invalid type returns 422 or 200"
"passed","Sun May 24 00:14:05 EEST 2026","Sun May 24 00:14:06 EEST 2026","420","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","search_noMatches_returnsEmptyList","search_noMatches_returnsEmptyList","Search with no matches returns empty data array"
"passed","Sun May 24 00:12:06 EEST 2026","Sun May 24 00:12:07 EEST 2026","562","Subscriptions Module","Subscriptions Tests","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsExportApiTest","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsExportApiTest","export_filterByCurrencyCode","export_filterByCurrencyCode","currency_code=SAR filter"
"passed","Sun May 24 00:10:28 EEST 2026","Sun May 24 00:10:30 EEST 2026","1545","Plan Features Module","Plan Features Tests","com.apiautomation.tests.admin.planfeatures.AdminPlanFeatureByIdApiTest","com.apiautomation.tests.admin.planfeatures.AdminPlanFeatureByIdApiTest","showFeature_withinSla","showFeature_withinSla","Show feature responds within SLA"
"passed","Sun May 24 00:16:06 EEST 2026","Sun May 24 00:16:06 EEST 2026","359","Wallets Module","Wallets Tests","com.apiautomation.tests.admin.wallets.AdminWalletByIdApiTest","com.apiautomation.tests.admin.wallets.AdminWalletByIdApiTest","showWallet_negativeId_returns404","showWallet_negativeId_returns404","Negative ID returns 404"
